Side, Time
RN,16568511
RF,16569734
LN,16569768
LF,16569877
LN,16570008
LF,16570121
RN,16570159
RF,16570481
LN,16570516
LF,16570610
LN,16570735
LF,16570869
RN,16570908
RF,16571228
LN,16571264
LF,16571352
LN,16571440
LF,16571616
RN,16571656
RF,16571974
LN,16572013
LF,16572097
LN,16572144
LF,16572361
RN,16572403
RF,16572718
LN,16572760
LF,16573106
RN,16573149
RF,16573462
LN,16573505
LF,16573849
RN,16573895
RF,16574204
LN,16574247
LF,16574593
RN,16574639
RF,16574946
LN,16574990
LF,16575335
RN,16575383
RF,16575688
LN,16575733
LF,16576076
RN,16576126
RF,16576428
LN,16576475
LF,16576659
LN,16576717
LF,16576817
RN,16576869
RF,16577168
LN,16577216
LF,16577358
LN,16577445
LF,16577558
RN,16577611
RF,16577908
LN,16577957
LF,16578105
LN,16578181
LF,16578298
RN,16578353
RF,16578647
LN,16578698
RN,16578888
RF,16578990
LF,16579038
RN,16579094
RF,16579386
LN,16579438
RN,16579592
RF,16579709
LF,16579777
RN,16579834
RF,16580125
LN,16580178
RN,16580294
RF,16580455
LF,16580516
RN,16580575
RF,16580862
LN,16580917
RN,16581003
RF,16581200
LF,16581254
RN,16581315
RF,16581600
LN,16581656
LF,16581847
LN,16581848
LF,16581850
LN,16581858
LF,16581859
LN,16581860
LF,16581862
LN,16581864
LF,16581992
RN,16582056
RF,16582337
LN,16582395
LF,16582507
RN,16582619
LN,16582632
RF,16582713
LF,16582729
RN,16582795
RF,16583074
LN,16583134
LF,16583258
RN,16583299
LN,16583381
RF,16583437
LF,16583466
RN,16583534
RF,16583810
LN,16583871
LF,16583989
RN,16584001
LN,16584099
RF,16584176
LF,16584203
RN,16584273
RF,16584545
LN,16584609
RN,16584724
LF,16584811
LN,16584882
RF,16584906
LF,16584939
RN,16585011
RF,16585280
LN,16585347
RN,16585454
LF,16585501
LN,16585623
RF,16585651
LF,16585675
RN,16585750
RF,16586015
LN,16586084
RN,16586195
LF,16586224
LN,16586372
RF,16586402
LF,16586411
RN,16586489
RF,16586749
LN,16586821
RN,16586947
LF,16586957
LN,16587094
LF,16587146
RF,16587154
RN,16587226
RF,16587483
LN,16587557
LF,16587677
RN,16587682
LN,16587813
LF,16587881
RF,16587894
RN,16587964
RF,16588217
LN,16588293
RN,16588398
LF,16588407
LN,16588584
LF,16588615
RF,16588619
RN,16588701
RF,16588950
LN,16589028
RN,16589118
LF,16589172
LN,16589317
LF,16589349
RF,16589350
RN,16589438
RF,16589683
LN,16589764
RN,16589863
LF,16589911
LN,16590044
LF,16590082
RF,16590094
RN,16590176
RF,16590415
LN,16590500
RN,16590577
LF,16590649
LN,16590795
LF,16590815
RF,16590836
RN,16590913
RF,16591146
LN,16591235
RN,16591343
LF,16591375
LN,16591522
LF,16591549
RF,16591570
RN,16591650
RF,16591878
LN,16591969
RN,16592070
LF,16592117
RF,16592303
RN,16592386
RF,16592609
LN,16592704
RN,16592791
LF,16592862
LN,16593014
LF,16593034
RF,16593037
RN,16593125
RF,16593338
LN,16593440
RN,16593521
LF,16593579
LN,16593731
LF,16593744
RF,16593770
RN,16593862
RF,16594067
LN,16594174
RN,16594253
LF,16594327
RF,16594502
RN,16594599
RF,16594796
LN,16594909
RN,16594995
LF,16595049
RF,16595235
RN,16595338
RF,16595523
LN,16595644
RN,16595725
LF,16595790
RF,16595967
RN,16596078
RF,16596248
LN,16596378
RN,16596459
LF,16596519
LN,16596692
RF,16596700
LF,16596716
RN,16596821
RF,16596970
LN,16597115
RN,16597190
LF,16597252
RF,16597431
RN,16597566
RF,16597690
LN,16597851
RN,16597926
LF,16597987
RF,16598163
RN,16598316
RF,16598403
LN,16598585
RN,16598659
LF,16598724
RF,16598894
LN,16598904
LF,16598922
LN,16599324
RN,16599392
LF,16599451
RF,16599626
LN,16599640
LF,16599658
LN,16600073
RN,16600126
LF,16600184
RF,16600358
LN,16600814
RN,16600858
LF,16600919
RF,16601090
LN,16601563
RN,16601592
LF,16601652
RF,16601822
LN,16601837
LF,16601857
LN,16602317
RN,16602324
LF,16602386
RF,16602556
LN,16602566
LF,16602588
RN,16603058
LN,16603100
LF,16603107
RF,16603294
RN,16603792
RF,16604037
LN,16604042
LF,16604044
LN,16604045
LF,16604047
RN,16604524
LN,16604578
LF,16604597
RF,16604790
RN,16605295
LN,16605317
LF,16605338
RF,16605557
RN,16606040
RF,16606289
RN,16606756
LN,16606918
LF,16606966
RF,16607015
RN,16607470
LN,16607535
LF,16607685
RF,16607748
RN,16608228
LN,16608266
LF,16608383
RF,16608477
RN,16608961
RF,16609198
RN,16609696
RF,16609938
RN,16610431
RF,16610659
RN,16611167
RF,16611168
RN,16611169
RF,16611378
RN,16611906
RF,16612095
RN,16612647
