Side, Time
RN,15940266
RF,15941196
LN,15941245
LF,15941585
RN,15941639
RF,15941935
LN,15941985
LF,15942325
RN,15942380
RF,15942673
LN,15942726
LF,15943063
RN,15943121
RF,15943411
LN,15943465
LF,15943802
RN,15943861
RF,15944148
LN,15944204
LF,15944540
RN,15944601
RF,15944885
LN,15944942
LF,15945277
RN,15945340
RF,15945622
LN,15945681
LF,15946014
RN,15946080
RF,15946358
LN,15946418
LF,15946751
RN,15946818
RF,15947093
LN,15947156
LF,15947487
RN,15947557
RF,15947829
LN,15947893
LF,15948223
RN,15948294
RF,15948564
LN,15948630
LF,15948959
RN,15949032
RF,15949299
LN,15949367
LF,15949695
RN,15949771
RF,15950033
LN,15950103
RN,15950319
RF,15950397
RN,15950399
RF,15950400
LF,15950430
RN,15950508
