Side, Time
RN,15870434
RF,15870906
LN,15870951
LF,15871294
RN,15871345
RF,15871646
LN,15871693
LF,15872035
RN,15872087
RF,15872385
LN,15872434
LF,15872775
RN,15872829
RF,15873124
LN,15873175
LF,15873514
RN,15873570
RF,15873863
LN,15873915
LF,15874253
RN,15874311
RF,15874601
LN,15874654
LF,15874991
RN,15875051
RF,15875338
LN,15875394
LF,15875729
RN,15875792
RF,15876075
LN,15876132
LF,15876467
RN,15876531
RF,15876811
LN,15876871
LF,15877204
RN,15877271
RF,15877547
LN,15877609
LF,15877940
RN,15878010
RF,15878283
LN,15878346
LF,15878677
RN,15878748
RF,15879018
LN,15879084
LF,15879413
RN,15879486
RF,15879753
LN,15879821
LF,15880148
RN,15880225
RF,15880487
LN,15880557
LF,15880883
RN,15880964
RF,15881220
LN,15881294
RN,15881538
LF,15881618
RF,15881635
RN,15881701
RF,15881954
LN,15882030
RN,15882235
LF,15882352
RF,15882370
RN,15882438
RF,15882687
LN,15882765
RN,15882955
RF,15882956
RN,15882957
LF,15883086
RF,15883100
RN,15883176
RF,15883419
LN,15883501
RN,15883661
LF,15883818
RF,15883839
RN,15883914
RF,15884151
LN,15884237
RN,15884388
LF,15884552
RF,15884573
RN,15884651
RF,15884882
LN,15884972
RN,15885137
LF,15885286
RF,15885307
RN,15885388
