Side, Time
RN,15809849
RF,15811139
LN,15811166
LF,15811270
LN,15811412
LF,15811528
RN,15811558
RF,15811895
LN,15811923
LF,15812003
LN,15812132
LF,15812284
RN,15812315
RF,15812650
LN,15812680
LF,15812747
LN,15812857
LF,15813038
RN,15813071
RF,15813403
LN,15813435
LF,15813486
LN,15813575
LF,15813791
RN,15813825
RF,15814154
LN,15814188
LF,15814239
LN,15814265
LF,15814340
LN,15814432
LF,15814541
RN,15814577
RF,15814903
LN,15814939
LF,15815077
LN,15815078
LF,15815079
LN,15815145
LF,15815291
RN,15815328
RF,15815651
LN,15815688
LF,15815800
LN,15815889
LF,15816039
RN,15816077
RF,15816398
LN,15816436
RN,15816548
RF,15816558
LF,15816786
RN,15816825
RF,15817144
LN,15817181
RN,15817271
RF,15817274
LF,15817532
RN,15817573
RF,15817889
LN,15817928
LF,15818066
LN,15818163
LF,15818164
LN,15818165
LF,15818277
RN,15818319
RF,15818633
LN,15818673
LF,15818787
LN,15818905
LF,15819021
RN,15819065
RF,15819376
LN,15819417
LF,15819518
LN,15819629
LF,15819764
RN,15819810
RF,15820118
LN,15820162
LF,15820255
RN,15820262
LN,15820338
RF,15820404
RN,15820405
RF,15820406
LF,15820507
RN,15820554
RF,15820860
LN,15820904
RN,15821002
RF,15821168
LF,15821249
RN,15821298
RF,15821601
LN,15821648
LF,15821720
RN,15821729
LN,15821838
RF,15821884
LF,15821990
RN,15822040
RF,15822341
LN,15822390
RN,15822444
RF,15822445
RN,15822446
LF,15822478
LN,15822532
LF,15822533
LN,15822534
LF,15822571
LN,15822582
LF,15822583
LN,15822584
LF,15822586
LN,15822587
RF,15822642
LF,15822730
RN,15822783
RF,15823081
LN,15823130
RN,15823192
LF,15823245
LN,15823345
RF,15823371
LF,15823471
RN,15823524
RF,15823820
LN,15823870
RN,15823921
RF,15824131
LF,15824210
RN,15824265
RF,15824559
LN,15824611
RN,15824652
LF,15824750
LN,15824770
LF,15824772
LN,15824773
RF,15824890
LF,15824950
RN,15825007
RF,15825298
LN,15825351
RN,15825383
RF,15825384
RN,15825385
RF,15825634
LF,15825689
RN,15825747
RF,15826036
LN,15826090
RN,15826122
RF,15826380
LF,15826427
RN,15826487
RF,15826773
LN,15826829
RN,15826885
LF,15826910
LN,15827057
RF,15827105
LF,15827165
RN,15827227
RF,15827510
LN,15827568
RN,15827639
RF,15827640
RN,15827641
LF,15827655
LN,15827786
RF,15827858
LF,15827902
RN,15827967
RF,15828246
LN,15828306
RN,15828371
LF,15828385
LN,15828502
RF,15828585
LF,15828639
RN,15828706
