Side, Time
RN,16422795
RF,16424364
LN,16424404
LF,16424751
RN,16424797
RF,16425106
LN,16425148
LF,16425494
RN,16425541
RF,16425848
LN,16425891
LF,16426236
RN,16426284
RF,16426589
LN,16426635
LF,16426977
RN,16427027
RF,16427329
LN,16427379
LF,16427718
RN,16427770
RF,16428068
LN,16428118
LF,16428458
RN,16428512
RF,16428807
LN,16428858
LF,16429197
RN,16429253
RF,16429545
LN,16429598
LF,16429935
RN,16429994
RF,16430283
LN,16430337
LF,16430674
RN,16430734
RF,16431020
LN,16431076
LF,16431412
RN,16431474
RF,16431757
LN,16431815
LF,16432149
RN,16432213
RF,16432493
LN,16432552
LF,16432886
RN,16432953
RF,16433230
LN,16433291
RN,16433505
RF,16433567
LF,16433623
RN,16433691
RF,16433965
LN,16434028
RN,16434196
RF,16434305
LF,16434359
RN,16434430
RF,16434701
LN,16434766
RN,16434955
RF,16435048
LF,16435095
RN,16435169
RF,16435435
LN,16435503
LF,16435830
RN,16435907
RF,16436169
LN,16436240
RN,16436434
RF,16436551
LF,16436566
RN,16436645
RF,16436903
LN,16436976
RN,16437146
LF,16437186
LN,16437226
RF,16437268
RN,16437269
RF,16437270
LF,16437300
RN,16437382
RF,16437637
LN,16437712
RN,16437852
RF,16438028
LF,16438035
RN,16438120
RF,16438370
LN,16438448
RN,16438601
RF,16438602
RN,16438604
LF,16438664
LN,16438718
LF,16438769
RF,16438783
RN,16438857
RF,16439102
LN,16439183
RN,16439326
LF,16439502
RF,16439521
RN,16439595
RF,16439834
LN,16439919
RN,16440046
LF,16440236
RF,16440255
RN,16440332
RF,16440566
LN,16440654
RN,16440784
LF,16440969
RF,16440989
RN,16441068
RF,16441297
LN,16441389
RN,16441520
LF,16441645
LN,16441663
LF,16441699
RF,16441722
RN,16441805
RF,16442027
LN,16442123
RN,16442240
LF,16442330
LN,16442411
LF,16442432
RF,16442455
RN,16442542
RF,16442757
LN,16442858
RN,16442997
LF,16443060
RF,16443188
RN,16443279
RF,16443487
LN,16443592
RN,16443699
LF,16443785
LN,16443899
LF,16443906
RF,16443920
RN,16444016
RF,16444215
LN,16444326
RN,16444431
RF,16444432
RN,16444433
LF,16444523
RF,16444653
RN,16444754
RF,16444942
LN,16445060
RN,16445171
LF,16445256
LN,16445357
LF,16445379
RF,16445385
RN,16445494
RF,16445668
LN,16445795
RN,16445898
LF,16445979
RF,16446117
RN,16446235
RF,16446391
LN,16446530
RN,16446641
LF,16446700
RF,16446848
RN,16446977
RF,16447112
LN,16447265
RN,16447368
LF,16447441
LN,16447579
RF,16447579
LF,16447584
LN,16447585
LF,16447590
RN,16447725
RF,16447827
LN,16448001
RN,16448103
LF,16448164
RF,16448310
RN,16448512
RF,16448513
LN,16448738
RN,16448829
LF,16448898
RF,16449040
LN,16449054
LF,16449070
LN,16449477
RN,16449561
LF,16449630
RF,16449770
LN,16450219
RN,16450293
LF,16450364
RF,16450500
LN,16450961
RN,16451025
LF,16451098
RF,16451229
LN,16451710
RN,16451758
LF,16451823
RF,16451960
LN,16452467
RN,16452493
LF,16452555
RF,16452691
LN,16452726
LF,16452732
LN,16452733
LF,16452735
RN,16453222
RF,16453423
RN,16453956
RF,16454159
RN,16454689
LN,16454747
LF,16454761
RF,16454901
RN,16455459
LN,16455480
LF,16455509
RF,16455662
LN,16456219
RN,16456223
LF,16456239
RF,16456444
RN,16456963
RF,16457177
RN,16457685
RF,16457904
RN,16458393
LN,16458468
LF,16458587
RF,16458638
RN,16459123
LN,16459175
LF,16459309
RF,16459376
RN,16459867
LN,16459910
LF,16459911
LN,16459912
LF,16459997
RF,16460106
RN,16460606
RF,16460821
RN,16461336
RF,16461557
RN,16462075
RF,16462286
RN,16462809
