Side, Time
RN,16001316
RF,16002188
LN,16002240
LF,16002578
RN,16002636
RF,16002926
LN,16002979
LF,16003317
RN,16003376
RF,16003663
LN,16003719
LF,16004055
RN,16004115
RF,16004400
LN,16004457
LF,16004792
RN,16004855
RF,16005137
LN,16005196
LF,16005529
RN,16005594
RF,16005873
LN,16005934
LF,16006266
RN,16006332
RF,16006608
LN,16006672
LF,16007002
RN,16007071
RF,16007343
LN,16007408
LF,16007738
RN,16007809
RF,16008078
LN,16008145
LF,16008473
RN,16008547
RF,16008812
LN,16008882
LF,16009208
RN,16009285
RF,16009546
LN,16009617
LF,16009943
RN,16010023
RF,16010280
LN,16010353
RN,16010630
RF,16010677
LF,16010678
RN,16010678
RF,16010681
RN,16010760
RF,16011014
LN,16011089
RN,16011309
RF,16011401
LF,16011412
RN,16011497
RF,16011747
LN,16011825
RN,16012006
RF,16012121
LF,16012146
RN,16012234
RF,16012479
LN,16012561
RN,16012743
RF,16012744
RN,16012745
RN,16012747
RF,16012875
RN,16012877
RF,16012878
LF,16012879
RN,16012972
RF,16013211
LN,16013295
RN,16013543
LF,16013613
RF,16013632
RN,16013709
RF,16013943
LN,16014030
RN,16014235
RF,16014236
RN,16014237
LF,16014346
RF,16014366
RN,16014444
RF,16014674
LN,16014765
RN,16014936
LF,16015077
RF,16015099
RN,16015182
RF,16015404
LN,16015500
RN,16015661
LF,16015807
RF,16015832
RN,16015920
RF,16016133
LN,16016235
RN,16016387
LF,16016541
RF,16016564
RN,16016657
RF,16016862
LN,16016968
RN,16017122
LF,16017272
RF,16017297
RN,16017393
RF,16017590
LN,16017702
RN,16017842
LF,16018001
RF,16018028
RN,16018130
RF,16018317
LN,16018436
RN,16018591
LF,16018700
RF,16018760
RN,16018869
RF,16019042
LN,16019171
RN,16019294
LF,16019384
LN,16019464
LF,16019483
RF,16019491
RN,16019608
RF,16019766
LN,16019904
RN,16020044
LF,16020135
RF,16020222
RN,16020349
RF,16020488
LN,16020639
RN,16020768
LF,16020842
RF,16020953
RN,16021094
RF,16021205
LN,16021372
RN,16021499
LF,16021581
RF,16021682
RN,16021843
RF,16021915
LN,16022106
RN,16022225
LF,16022305
RF,16022412
LN,16022843
RN,16022957
LF,16023042
RF,16023142
LN,16023586
RN,16023692
LF,16023771
RF,16023870
LN,16024324
RN,16024420
LF,16024504
RF,16024599
LN,16025068
RN,16025156
LF,16025220
RF,16025327
LN,16025818
RN,16025885
LF,16025955
RF,16026055
LN,16026575
RN,16026616
LF,16026664
RF,16026779
RN,16027351
RF,16027506
RN,16028081
LN,16028137
LF,16028149
LN,16028150
LF,16028151
RF,16028226
LN,16028277
LF,16028307
RN,16028808
LN,16028866
LF,16028896
RF,16028941
LN,16029600
LF,16029627
LN,16030338
LF,16030361
LN,16031070
LF,16031103
