Side, Time
RN,15719196
RF,15720574
LN,15720606
LF,15720715
LN,15720842
LF,15720962
RN,15720998
RF,15721323
LN,15721356
LF,15721444
LN,15721566
LF,15721711
RN,15721748
RF,15722071
LN,15722106
LF,15722188
LN,15722268
LF,15722459
RN,15722497
RF,15722818
LN,15722856
LF,15722919
LN,15722989
LF,15723206
RN,15723245
RF,15723564
LN,15723604
LF,15723654
LN,15723715
LF,15723951
RN,15723993
RF,15724308
LN,15724350
LF,15724696
RN,15724739
RF,15725052
LN,15725095
LF,15725440
RN,15725485
RF,15725794
LN,15725837
LF,15726182
RN,15726229
RF,15726536
LN,15726580
LF,15726924
RN,15726973
RF,15727276
LN,15727323
LF,15727665
RN,15727716
RF,15728017
LN,15728064
LF,15728406
RN,15728459
RF,15728756
LN,15728805
LF,15729146
RN,15729200
RF,15729495
LN,15729546
LF,15729885
RN,15729942
RF,15730234
LN,15730285
RN,15730457
RF,15730580
LF,15730624
RN,15730683
RF,15730971
LN,15731025
RN,15731157
RF,15731299
LF,15731362
RN,15731423
RF,15731709
LN,15731764
RN,15731899
RF,15731900
RN,15731901
RF,15732042
LF,15732100
RN,15732163
RF,15732445
LN,15732503
RN,15732624
LF,15732668
LN,15732754
RF,15732780
RN,15732781
RF,15732782
