Side, Time
RN,42209
RF,43826
LN,43857
LF,43955
LN,44097
LF,44214
RN,44249
RF,44577
LN,44609
LF,44690
LN,44818
LF,44965
RN,45001
RF,45327
LN,45360
LF,45432
LN,45539
LF,45715
RN,45751
RF,46075
LN,46112
LF,46163
LN,46262
LF,46463
RN,46501
RF,46822
LN,46862
LF,46896
LN,46984
LF,47005
LN,47102
LF,47210
RN,47250
RF,47568
LN,47609
LF,47734
LN,47813
LF,47955
RN,47997
RF,48312
LN,48354
LF,48475
LN,48534
LF,48700
RN,48744
RF,49055
LN,49099
LF,49444
RN,49489
RF,49798
LN,49841
LF,50186
RN,50234
RF,50539
LN,50584
LF,50928
RN,50978
RF,51280
LN,51326
LF,51669
RN,51721
RF,52020
LN,52068
LF,52155
LN,52319
LF,52410
RN,52463
RF,52759
LN,52809
LF,52885
RN,52989
RF,52990
RN,52991
LN,53040
RF,53110
LF,53149
RN,53205
RF,53498
LN,53549
LF,53622
RN,53669
LN,53759
RF,53842
LF,53889
RN,53946
RF,54237
LN,54290
RN,54389
LF,54440
LN,54497
LF,54498
LN,54499
RF,54576
LF,54627
RN,54688
RF,54972
LN,55030
RN,55098
LF,55124
LN,55272
RF,55318
LF,55363
RN,55431
RF,55704
LN,55767
RN,55831
LF,55871
LN,56006
RF,56077
LF,56099
RN,56170
RF,56440
LN,56505
RN,56586
LF,56637
LN,56759
RF,56812
LF,56835
RN,56908
RF,57175
LN,57242
RN,57309
LF,57377
LN,57508
RF,57570
LF,57571
RN,57647
RF,57910
LN,57979
RN,58045
LF,58108
LN,58230
LF,58307
RF,58313
RN,58384
RF,58645
LN,58715
RN,58778
LF,58873
LN,58967
LF,59042
RF,59046
RN,59121
RF,59379
LN,59452
RN,59517
LF,59603
LN,59705
LF,59777
RF,59793
RN,59859
RF,60113
LN,60188
RN,60281
LF,60319
LN,60450
LF,60512
RF,60524
RN,60596
RF,60847
LN,60924
RN,61007
LF,61055
LN,61216
LF,61246
RF,61263
RN,61333
RF,61580
LN,61659
RN,61726
LF,61795
LN,61941
LF,61980
RF,61998
RN,62070
RF,62313
LN,62395
RN,62467
LF,62537
LN,62677
LF,62714
RF,62733
RN,62807
RF,63044
LN,63130
RN,63210
LF,63257
LN,63422
LF,63446
RF,63467
RN,63544
RF,63776
LN,63865
RN,63941
LF,64009
LN,64166
LF,64178
RF,64200
RN,64281
RF,64507
LN,64600
RN,64688
LF,64729
LN,64914
LF,64918
RF,64934
RN,65019
RF,65237
LN,65335
RN,65413
LF,65479
RF,65667
RN,65757
RF,65966
LN,66070
RN,66152
LF,66209
RF,66400
RN,66495
RF,66694
LN,66805
RN,66884
LF,66946
RF,67133
RN,67234
RF,67422
LN,67539
RN,67624
LF,67680
LN,67852
RF,67865
LF,67879
RN,67974
RF,68147
LN,68274
RN,68350
LF,68417
RF,68597
RN,68714
RF,68871
LN,69009
RN,69089
LF,69148
LN,69328
RF,69329
LF,69353
RN,69457
RF,69593
LN,69744
RN,69822
LF,69883
RF,70061
RN,70205
RF,70309
LN,70481
RN,70557
LF,70617
RF,70792
LN,71219
RN,71294
LF,71346
RF,71524
LN,71548
LF,71556
LN,71964
RN,72024
LF,72077
RF,72257
LN,72710
RN,72756
LF,72812
RF,72989
LN,73459
RN,73488
LF,73544
RF,73722
LN,73736
LF,73761
LN,74214
RN,74221
LF,74278
RF,74456
RN,74954
RF,75196
RN,75688
LN,75745
LF,75752
RF,75941
RN,76421
LN,76474
LF,76495
RF,76699
RN,77195
LN,77213
LF,77227
RF,77462
RN,77939
LN,78124
LF,78140
RF,78192
RN,78658
LN,78835
LF,78883
RF,78921
RN,79376
LN,79432
LF,79507
LN,79508
LF,79509
LN,79527
LF,79610
RF,79655
RN,80123
LN,80157
LF,80320
RF,80391
RN,80861
LN,80898
LF,81003
RF,81109
RN,81594
RF,81833
RN,82329
RF,82574
RN,83061
RF,83300
RN,83798
RF,84019
RN,84020
RF,84021
RN,84536
RF,84735
RN,85276
RF,85446
RN,86018
RF,86019
