Side, Time
RN,15588206
RF,15588838
RN,15590128
RF,15590802
RN,15591772
RF,15592393
RN,15594803
RF,15595378
RN,15596460
RF,15597093
RN,15598127
RF,15598539
LN,15598576
LF,15598721
LN,15598781
LF,15598926
RN,15598968
RF,15599283
LN,15599321
LF,15599671
RN,15599713
RF,15600026
LN,15600066
LF,15600414
RN,15600459
RF,15600769
LN,15600811
LF,15601157
RN,15601203
RF,15601511
LN,15601554
LF,15601899
RN,15601947
RF,15602252
LN,15602297
LF,15602640
RN,15602690
RF,15602992
LN,15603039
LF,15603381
RN,15603433
RF,15603732
LN,15603780
